"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"< 1 year"	"1"	Suppressed	28712	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	115715	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	153779	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	154380	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	161690	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	154634	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"25-29 years"	"25-29"	Suppressed	155151	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"30-34 years"	"30-34"	23	153099	15.02
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"35-39 years"	"35-39"	66	175011	37.71
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"40-44 years"	"40-44"	118	176290	66.94
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"45-49 years"	"45-49"	147	159445	92.19
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"50-54 years"	"50-54"	239	141883	168.45
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"55-59 years"	"55-59"	303	115362	262.65
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"60-64 years "	"60-64"	394	101124	389.62
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"65-69 years"	"65-69"	536	91405	586.40
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"70-74 years"	"70-74"	587	85406	687.31
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"75-79 years"	"75-79"	695	71682	969.56
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"80-84 years"	"80-84"	548	50239	1090.79
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	674	48252	1396.83
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"< 1 year"	"1"	0	30075	0.00
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	120438	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	161970	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	162999	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	166099	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	151548	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"25-29 years"	"25-29"	Suppressed	151877	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"30-34 years"	"30-34"	20	148196	13.50
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"35-39 years"	"35-39"	43	167921	25.61
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"40-44 years"	"40-44"	88	167710	52.47
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"45-49 years"	"45-49"	180	150447	119.64
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"50-54 years"	"50-54"	273	133876	203.92
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"55-59 years"	"55-59"	420	105366	398.61
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"60-64 years "	"60-64"	552	88690	622.39
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"65-69 years"	"65-69"	728	75958	958.42
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"70-74 years"	"70-74"	848	63159	1342.64
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"75-79 years"	"75-79"	842	46215	1821.92
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"80-84 years"	"80-84"	604	26637	2267.52
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"85+ years"	"85+"	497	17701	2807.75
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"< 1 year"	"1"	Suppressed	29143	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"1-4 years"	"1-4"	0	115433	0.00
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	152493	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	156202	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	160456	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	156233	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"25-29 years"	"25-29"	Suppressed	150616	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"30-34 years"	"30-34"	22	152816	14.40
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"35-39 years"	"35-39"	48	172909	27.76
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"40-44 years"	"40-44"	100	177209	56.43
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"45-49 years"	"45-49"	176	162897	108.04
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"50-54 years"	"50-54"	226	147829	152.88
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"55-59 years"	"55-59"	326	118328	275.51
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"60-64 years "	"60-64"	411	101533	404.79
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"65-69 years"	"65-69"	529	91430	578.58
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"70-74 years"	"70-74"	641	85070	753.50
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"75-79 years"	"75-79"	676	71984	939.10
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"80-84 years"	"80-84"	541	50763	1065.74
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"85+ years"	"85+"	700	49491	1414.40
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"< 1 year"	"1"	0	30474	0.00
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	120135	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	160685	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	165170	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	165156	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"20-24 years"	"20-24"	16	152937	10.46
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"25-29 years"	"25-29"	Suppressed	148063	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"30-34 years"	"30-34"	17	148363	11.46
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"35-39 years"	"35-39"	42	165784	25.33
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"40-44 years"	"40-44"	103	168611	61.09
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"45-49 years"	"45-49"	192	153919	124.74
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"50-54 years"	"50-54"	291	140119	207.68
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"55-59 years"	"55-59"	449	108433	414.08
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"60-64 years "	"60-64"	554	89347	620.05
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"65-69 years"	"65-69"	779	76405	1019.57
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"70-74 years"	"70-74"	881	63735	1382.29
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"75-79 years"	"75-79"	855	46494	1838.95
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"80-84 years"	"80-84"	640	27438	2332.53
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"85+ years"	"85+"	532	18070	2944.11
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"< 1 year"	"1"	Suppressed	30131	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	115083	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	150013	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	157362	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	158268	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"20-24 years"	"20-24"	Suppressed	160817	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"25-29 years"	"25-29"	Suppressed	144937	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"30-34 years"	"30-34"	28	153262	18.27
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"35-39 years"	"35-39"	49	168957	29.00
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"40-44 years"	"40-44"	127	178029	71.34
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"45-49 years"	"45-49"	152	166238	91.44
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"50-54 years"	"50-54"	278	153833	180.72
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"55-59 years"	"55-59"	321	120592	266.19
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"60-64 years "	"60-64"	406	102947	394.38
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"65-69 years"	"65-69"	533	91716	581.14
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"70-74 years"	"70-74"	638	84897	751.50
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"75-79 years"	"75-79"	714	71899	993.06
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"80-84 years"	"80-84"	573	51632	1109.78
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"85+ years"	"85+"	695	48883	1421.76
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"< 1 year"	"1"	0	31406	0.00
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	120004	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	157513	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	166253	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"15-19 years"	"15-19"	Suppressed	163598	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"20-24 years"	"20-24"	Suppressed	157924	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"25-29 years"	"25-29"	Suppressed	141826	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"30-34 years"	"30-34"	Suppressed	148924	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"35-39 years"	"35-39"	46	161913	28.41
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"40-44 years"	"40-44"	95	169104	56.18
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"45-49 years"	"45-49"	176	157109	112.02
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"50-54 years"	"50-54"	327	146275	223.55
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"55-59 years"	"55-59"	431	110610	389.66
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"60-64 years "	"60-64"	513	90875	564.51
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"65-69 years"	"65-69"	769	77545	991.68
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"70-74 years"	"70-74"	873	64104	1361.85
