"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"< 1 year"	"1"	Suppressed	28712	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	115715	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	153779	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	20	154380	12.96
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	26	161690	16.08
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	59	154634	38.15
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"25-29 years"	"25-29"	83	155151	53.50
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"30-34 years"	"30-34"	162	153099	105.81
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"35-39 years"	"35-39"	323	175011	184.56
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"40-44 years"	"40-44"	512	176290	290.43
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"45-49 years"	"45-49"	662	159445	415.19
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"50-54 years"	"50-54"	866	141883	610.36
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"55-59 years"	"55-59"	941	115362	815.69
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"60-64 years "	"60-64"	1062	101124	1050.20
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"65-69 years"	"65-69"	1189	91405	1300.80
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"70-74 years"	"70-74"	1257	85406	1471.79
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"75-79 years"	"75-79"	1164	71682	1623.84
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"80-84 years"	"80-84"	832	50239	1656.08
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	709	48252	1469.37
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"< 1 year"	"1"	Suppressed	30075	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	120438	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	161970	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	27	162999	16.56
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	25	166099	15.05
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	41	151548	27.05
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"25-29 years"	"25-29"	45	151877	29.63
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"30-34 years"	"30-34"	90	148196	60.73
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"35-39 years"	"35-39"	135	167921	80.39
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"40-44 years"	"40-44"	259	167710	154.43
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"45-49 years"	"45-49"	433	150447	287.81
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"50-54 years"	"50-54"	743	133876	554.99
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"55-59 years"	"55-59"	1025	105366	972.80
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"60-64 years "	"60-64"	1305	88690	1471.42
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"65-69 years"	"65-69"	1718	75958	2261.78
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"70-74 years"	"70-74"	1657	63159	2623.54
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"75-79 years"	"75-79"	1254	46215	2713.40
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"80-84 years"	"80-84"	747	26637	2804.37
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"85+ years"	"85+"	456	17701	2576.13
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"< 1 year"	"1"	Suppressed	29143	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"1-4 years"	"1-4"	16	115433	13.86
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	152493	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"10-14 years"	"10-14"	23	156202	14.72
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"15-19 years"	"15-19"	45	160456	28.05
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"20-24 years"	"20-24"	36	156233	23.04
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"25-29 years"	"25-29"	71	150616	47.14
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"30-34 years"	"30-34"	150	152816	98.16
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"35-39 years"	"35-39"	307	172909	177.55
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"40-44 years"	"40-44"	496	177209	279.90
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"45-49 years"	"45-49"	678	162897	416.21
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"50-54 years"	"50-54"	904	147829	611.52
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"55-59 years"	"55-59"	887	118328	749.61
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"60-64 years "	"60-64"	1108	101533	1091.27
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"65-69 years"	"65-69"	1234	91430	1349.67
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"70-74 years"	"70-74"	1264	85070	1485.84
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"75-79 years"	"75-79"	1189	71984	1651.76
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"80-84 years"	"80-84"	911	50763	1794.61
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"85+ years"	"85+"	736	49491	1487.14
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"< 1 year"	"1"	Suppressed	30474	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"1-4 years"	"1-4"	28	120135	23.31
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	160685	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"10-14 years"	"10-14"	18	165170	10.90
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"15-19 years"	"15-19"	31	165156	18.77
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"20-24 years"	"20-24"	33	152937	21.58
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"25-29 years"	"25-29"	55	148063	37.15
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"30-34 years"	"30-34"	88	148363	59.31
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"35-39 years"	"35-39"	152	165784	91.69
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"40-44 years"	"40-44"	284	168611	168.44
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"45-49 years"	"45-49"	444	153919	288.46
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"50-54 years"	"50-54"	735	140119	524.55
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"55-59 years"	"55-59"	1064	108433	981.25
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"60-64 years "	"60-64"	1293	89347	1447.17
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"65-69 years"	"65-69"	1631	76405	2134.68
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"70-74 years"	"70-74"	1722	63735	2701.81
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"75-79 years"	"75-79"	1395	46494	3000.39
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"80-84 years"	"80-84"	872	27438	3178.07
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"85+ years"	"85+"	520	18070	2877.70
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"< 1 year"	"1"	Suppressed	30131	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"1-4 years"	"1-4"	22	115083	19.12
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	150013	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"10-14 years"	"10-14"	26	157362	16.52
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"15-19 years"	"15-19"	24	158268	15.16
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"20-24 years"	"20-24"	54	160817	33.58
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"25-29 years"	"25-29"	87	144937	60.03
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"30-34 years"	"30-34"	175	153262	114.18
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"35-39 years"	"35-39"	299	168957	176.97
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"40-44 years"	"40-44"	512	178029	287.59
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"45-49 years"	"45-49"	698	166238	419.88
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"50-54 years"	"50-54"	914	153833	594.15
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"55-59 years"	"55-59"	1001	120592	830.07
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"60-64 years "	"60-64"	1086	102947	1054.91
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"65-69 years"	"65-69"	1332	91716	1452.31
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"70-74 years"	"70-74"	1338	84897	1576.03
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"75-79 years"	"75-79"	1259	71899	1751.07
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"80-84 years"	"80-84"	918	51632	1777.97
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"85+ years"	"85+"	851	48883	1740.89
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"< 1 year"	"1"	Suppressed	31406	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"1-4 years"	"1-4"	17	120004	14.17
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"5-9 years"	"5-9"	Suppressed	157513	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"10-14 years"	"10-14"	18	166253	10.83
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"15-19 years"	"15-19"	26	163598	15.89
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"20-24 years"	"20-24"	42	157924	26.60
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"25-29 years"	"25-29"	58	141826	40.90
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"30-34 years"	"30-34"	91	148924	61.10
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"35-39 years"	"35-39"	137	161913	84.61
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"40-44 years"	"40-44"	263	169104	155.53
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"45-49 years"	"45-49"	457	157109	290.88
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"50-54 years"	"50-54"	876	146275	598.87
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"55-59 years"	"55-59"	1122	110610	1014.37
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"60-64 years "	"60-64"	1418	90875	1560.39
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"65-69 years"	"65-69"	1865	77545	2405.06
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"70-74 years"	"70-74"	1853	64104	2890.62
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"75-79 years"	"75-79"	1403	46851	2994.60
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"80-84 years"	"80-84"	872	28251	3086.62
